,ID,Chemical_Name,MinLimit,MaxLimit,Units
545,7399,P,MON,MON,MG/L
546,7399,TKN,MON,MON,MG/L
547,7399,ORGN,,,
548,7399,AMMONIA,21.45124717,21.45124717,MG/L
549,7399,INORGN,MON,MON,MG/L
550,7399,NITRATE,,,
551,7399,PO4,,,
552,7400,N,,,
553,7400,P,MON,MON,MG/L
554,7400,TKN,MON,MON,MG/L
555,7400,ORGN,,,
556,7400,AMMONIA,MON,MON,MG/L
557,7400,INORGN,MON,MON,MG/L
558,7400,NITRATE,,,
559,7400,PO4,,,
560,85073,N,MON,MON,MG/L
561,85073,P,MON,MON,MG/L
562,85073,TKN,,,
563,85073,ORGN,,,
564,85073,AMMONIA,,,
565,85073,INORGN,,,
566,85073,NITRATE,,,
567,85073,PO4,,,
568,85089,N,MON,MON,MG/L
569,85089,P,MON,MON,MG/L
570,85089,TKN,,,
571,85089,ORGN,,,
572,85089,AMMONIA,,,
573,85089,INORGN,,,
574,85089,NITRATE,,,
575,85089,PO4,,,
576,85111,N,MON,MON,MG/L
577,85111,P,MON,MON,MG/L
578,85111,TKN,,,
579,85111,ORGN,,,
580,85111,AMMONIA,,,
581,85111,INORGN,,,
582,85111,NITRATE,,,
583,85111,PO4,,,
584,85116,N,MON,MON,MG/L
585,85116,P,MON,MON,MG/L
586,85116,TKN,,,
587,85116,ORGN,,,
588,85116,AMMONIA,28.57142857,166.893424,KG/DAY
589,85116,INORGN,,,
590,85116,NITRATE,,,
591,85116,PO4,,,
592,85117,N,MON,MON,MG/L
593,85117,P,MON,MON,MG/L
594,85117,TKN,,,
595,85117,ORGN,,,
596,85117,AMMONIA,,,
597,85117,INORGN,,,
598,85117,NITRATE,,,
599,85117,PO4,,,
600,85122,N,MON,MON,MG/L
601,85122,P,MON,MON,MG/L
602,85122,TKN,,,
603,85122,ORGN,,,
604,85122,AMMONIA,,,
605,85122,INORGN,,,
606,85122,NITRATE,,,
607,85122,PO4,,,
608,85123,N,MON,MON,MG/L
